ncm,capitulo,marca_aec,res_1_2022_agosto,res_26_2022_octubre,entrada,salida
3808.91.95,38,,si,si,2022-08-25,2023-12-27
3808.91.99,38,,no,si,2022-10-04,2023-12-27
3808.92.91,38,,si,si,2022-08-25,2023-12-27
3808.92.96,38,,si,si,2022-08-25,2023-12-27
3808.92.99,38,,no,si,2022-10-04,2023-12-27
3808.93.22,38,,no,si,2022-10-04,2023-12-27
3808.93.23,38,,si,si,2022-08-25,2023-12-27
3808.93.24,38,,si,si,2022-08-25,2023-12-27
3808.93.27,38,,si,si,2022-08-25,2023-12-27
3808.93.29,38,,no,si,2022-10-04,2023-12-27
3808.93.52,38,,si,si,2022-08-25,2023-12-27
3808.99.94,38,,si,si,2022-08-25,2023-12-27
3812.39.29,38,,si,si,2022-08-25,2023-12-27
3824.78.10,38,,si,si,2022-08-25,2023-12-27
3907.91.00,39,,si,si,2022-08-25,2023-12-27
3917.21.00,39,,si,si,2022-08-25,2023-12-27
3917.22.00,39,,si,si,2022-08-25,2023-12-27
3917.23.00,39,,si,si,2022-08-25,2023-12-27
3917.32.10,39,,si,si,2022-08-25,2023-12-27
3917.40.90,39,,no,si,2022-10-04,2023-12-27
3918.10.00,39,,si,si,2022-08-25,2023-12-27
3919.10.10,39,,no,si,2022-10-04,2023-12-27
3919.10.20,39,,si,si,2022-08-25,2023-12-27
3919.10.90,39,,no,si,2022-10-04,2023-12-27
3919.90.10,39,,no,si,2022-10-04,2023-12-27
3920.20.19,39,,no,si,2022-10-04,2023-12-27
3920.20.90,39,,si,si,2022-08-25,2023-12-27
3920.30.00,39,,si,si,2022-08-25,2023-12-27
3920.51.00,39,,si,si,2022-08-25,2023-12-27
3921.19.00,39,,si,si,2022-08-25,2023-12-27
3922.10.00,39,,si,si,2022-08-25,2023-12-27
3922.20.00,39,,si,si,2022-08-25,2023-12-27
3923.21.90,39,,si,si,2022-08-25,2023-12-27
3923.29.10,39,,si,si,2022-08-25,2023-12-27
3923.29.90,39,,si,si,2022-08-25,2023-12-27
3923.30.00,39,,si,si,2022-08-25,2023-12-27
3923.50.00,39,,si,si,2022-08-25,2023-12-27
3923.90.00,39,,si,si,2022-08-25,2023-12-27
3924.10.00,39,,si,si,2022-08-25,2023-12-27
3924.90.00,39,,si,si,2022-08-25,2023-12-27
3926.90.90,39,,si,si,2022-08-25,2023-12-27
4002.19.19,40,,si,si,2022-08-25,2023-12-27
4005.91.10,40,,si,si,2022-08-25,2023-12-27
4005.99.10,40,,si,si,2022-08-25,2023-12-27
4009.22.90,40,,si,si,2022-08-25,2023-12-27
4010.12.00,40,,si,si,2022-08-25,2023-12-27
4010.31.00,40,,si,si,2022-08-25,2023-12-27
4010.32.00,40,,si,si,2022-08-25,2023-12-27
4010.33.00,40,,si,si,2022-08-25,2023-12-27
4010.34.00,40,,si,si,2022-08-25,2023-12-27
4010.39.00,40,,si,si,2022-08-25,2023-12-27
4011.10.00,40,,si,si,2022-08-25,2023-12-27
4011.20.90,40,,si,si,2022-08-25,2023-12-27
4011.40.00,40,,si,si,2022-08-25,2023-12-27
4011.50.00,40,,si,si,2022-08-25,2023-12-27
4011.70.10,40,,si,si,2022-08-25,2023-12-27
4011.70.90,40,,si,si,2022-08-25,2023-12-27
4011.80.90,40,,si,si,2022-08-25,2023-12-27
4013.20.00,40,,si,si,2022-08-25,2023-12-27
4016.93.00,40,,si,si,2022-08-25,2023-12-27
4016.99.90,40,,si,si,2022-08-25,2023-12-27
4201.00.10,42,,no,si,2022-10-04,2023-12-27
4201.00.90,42,,si,si,2022-08-25,2023-12-27
4202.11.00,42,,no,si,2022-10-04,2023-12-27
4202.12.10,42,,si,si,2022-08-25,2023-12-27
4202.12.20,42,,si,si,2022-08-25,2023-12-27
4202.19.00,42,,si,si,2022-08-25,2023-12-27
4202.21.00,42,,si,si,2022-08-25,2023-12-27
4202.22.10,42,,si,si,2022-08-25,2023-12-27
4202.22.20,42,,si,si,2022-08-25,2023-12-27
4202.29.00,42,,no,si,2022-10-04,2023-12-27
4202.31.00,42,,no,si,2022-10-04,2023-12-27
4202.32.00,42,,si,si,2022-08-25,2023-12-27
4202.39.00,42,,si,si,2022-08-25,2023-12-27
4202.91.00,42,,no,si,2022-10-04,2023-12-27
4202.92.00,42,,si,si,2022-08-25,2023-12-27
4202.99.00,42,,si,si,2022-08-25,2023-12-27
4203.10.00,42,,si,si,2022-08-25,2023-12-27
4203.21.00,42,,si,si,2022-08-25,2023-12-27
4203.29.00,42,,si,si,2022-08-25,2023-12-27
4203.30.00,42,,si,si,2022-08-25,2023-12-27
4203.40.00,42,,no,si,2022-10-04,2023-12-27
4205.00.00,42,,no,si,2022-10-04,2023-12-27
