ncm,capitulo,marca_aec,res_1_2022_agosto,res_26_2022_octubre,entrada,salida
5903.90.00,59,,si,si,2022-08-25,2023-12-27
5904.10.00,59,,no,si,2022-10-04,2023-12-27
5904.90.00,59,,no,si,2022-10-04,2023-12-27
5905.00.00,59,,no,si,2022-10-04,2023-12-27
5906.10.00,59,,no,si,2022-10-04,2023-12-27
5906.91.00,59,,no,si,2022-10-04,2023-12-27
5906.99.00,59,,no,si,2022-10-04,2023-12-27
5907.00.00,59,,no,si,2022-10-04,2023-12-27
5908.00.00,59,,no,si,2022-10-04,2023-12-27
5909.00.00,59,,no,si,2022-10-04,2023-12-27
5910.00.00,59,,si,si,2022-08-25,2023-12-27
5911.10.00,59,,no,si,2022-10-04,2023-12-27
5911.20.10,59,,no,si,2022-10-04,2023-12-27
5911.20.90,59,,no,si,2022-10-04,2023-12-27
5911.31.00,59,,no,si,2022-10-04,2023-12-27
5911.32.00,59,,no,si,2022-10-04,2023-12-27
5911.40.00,59,,no,si,2022-10-04,2023-12-27
5911.90.00,59,,no,si,2022-10-04,2023-12-27
6001.10.10,60,,si,si,2022-08-25,2023-12-27
6001.10.20,60,,si,si,2022-08-25,2023-12-27
6001.10.90,60,,si,si,2022-08-25,2023-12-27
6001.21.00,60,,si,si,2022-08-25,2023-12-27
6001.22.00,60,,si,si,2022-08-25,2023-12-27
6001.29.00,60,,si,si,2022-08-25,2023-12-27
6001.91.00,60,,si,si,2022-08-25,2023-12-27
6001.92.00,60,,si,si,2022-08-25,2023-12-27
6001.99.00,60,,si,si,2022-08-25,2023-12-27
6002.40.10,60,,si,si,2022-08-25,2023-12-27
6002.40.20,60,,si,si,2022-08-25,2023-12-27
6002.40.90,60,,no,si,2022-10-04,2023-12-27
6002.90.10,60,,si,si,2022-08-25,2023-12-27
6002.90.20,60,,si,si,2022-08-25,2023-12-27
6002.90.90,60,,no,si,2022-10-04,2023-12-27
6003.10.00,60,,si,si,2022-08-25,2023-12-27
6003.20.00,60,,si,si,2022-08-25,2023-12-27
6003.30.00,60,,si,si,2022-08-25,2023-12-27
6003.40.00,60,,si,si,2022-08-25,2023-12-27
6003.90.00,60,,si,si,2022-08-25,2023-12-27
6004.10.11,60,,si,si,2022-08-25,2023-12-27
6004.10.12,60,,si,si,2022-08-25,2023-12-27
6004.10.13,60,,si,si,2022-08-25,2023-12-27
6004.10.14,60,,si,si,2022-08-25,2023-12-27
6004.10.31,60,,si,si,2022-08-25,2023-12-27
6004.10.32,60,,si,si,2022-08-25,2023-12-27
6004.10.33,60,,si,si,2022-08-25,2023-12-27
6004.10.34,60,,si,si,2022-08-25,2023-12-27
6004.10.41,60,,si,si,2022-08-25,2023-12-27
6004.10.42,60,,si,si,2022-08-25,2023-12-27
6004.10.43,60,,si,si,2022-08-25,2023-12-27
6004.10.44,60,,si,si,2022-08-25,2023-12-27
6004.10.91,60,,si,si,2022-08-25,2023-12-27
6004.10.92,60,,no,si,2022-10-04,2023-12-27
6004.10.93,60,,si,si,2022-08-25,2023-12-27
6004.10.94,60,,si,si,2022-08-25,2023-12-27
6004.90.10,60,,si,si,2022-08-25,2023-12-27
6004.90.30,60,,si,si,2022-08-25,2023-12-27
6004.90.40,60,,si,si,2022-08-25,2023-12-27
6004.90.90,60,,no,si,2022-10-04,2023-12-27
6005.21.00,60,,si,si,2022-08-25,2023-12-27
6005.22.00,60,,si,si,2022-08-25,2023-12-27
6005.23.00,60,,si,si,2022-08-25,2023-12-27
6005.24.00,60,,si,si,2022-08-25,2023-12-27
6005.35.00,60,,si,si,2022-08-25,2023-12-27
6005.36.00,60,,no,si,2022-10-04,2023-12-27
6005.37.00,60,,no,si,2022-10-04,2023-12-27
6005.38.00,60,,si,si,2022-08-25,2023-12-27
6005.39.00,60,,si,si,2022-08-25,2023-12-27
6005.41.00,60,,si,si,2022-08-25,2023-12-27
6005.42.00,60,,si,si,2022-08-25,2023-12-27
6005.43.00,60,,si,si,2022-08-25,2023-12-27
6005.44.00,60,,si,si,2022-08-25,2023-12-27
6005.90.10,60,,si,si,2022-08-25,2023-12-27
6005.90.90,60,,si,si,2022-08-25,2023-12-27
6006.10.00,60,,si,si,2022-08-25,2023-12-27
6006.21.00,60,,si,si,2022-08-25,2023-12-27
6006.22.00,60,,si,si,2022-08-25,2023-12-27
6006.23.00,60,,si,si,2022-08-25,2023-12-27
6006.24.00,60,,si,si,2022-08-25,2023-12-27
6006.31.10,60,,si,si,2022-08-25,2023-12-27
6006.31.20,60,,si,si,2022-08-25,2023-12-27
6006.31.30,60,,si,si,2022-08-25,2023-12-27
6006.31.90,60,,si,si,2022-08-25,2023-12-27
6006.32.10,60,,si,si,2022-08-25,2023-12-27
6006.32.20,60,,si,si,2022-08-25,2023-12-27
6006.32.30,60,,si,si,2022-08-25,2023-12-27
6006.32.90,60,,si,si,2022-08-25,2023-12-27
6006.33.10,60,,si,si,2022-08-25,2023-12-27
6006.33.20,60,,si,si,2022-08-25,2023-12-27
6006.33.30,60,,si,si,2022-08-25,2023-12-27
6006.33.90,60,,si,si,2022-08-25,2023-12-27
6006.34.10,60,,si,si,2022-08-25,2023-12-27
6006.34.20,60,,si,si,2022-08-25,2023-12-27
6006.34.30,60,,si,si,2022-08-25,2023-12-27
6006.34.90,60,,si,si,2022-08-25,2023-12-27
6006.41.00,60,,si,si,2022-08-25,2023-12-27
6006.42.00,60,,si,si,2022-08-25,2023-12-27
6006.43.00,60,,si,si,2022-08-25,2023-12-27
6006.44.00,60,,si,si,2022-08-25,2023-12-27
6006.90.00,60,,si,si,2022-08-25,2023-12-27
6008.37.00,60,,si,no,2022-08-25,2022-10-04
6101.20.00,61,,si,si,2022-08-25,2023-12-27
6101.30.00,61,,si,si,2022-08-25,2023-12-27
6101.90.10,61,,si,si,2022-08-25,2023-12-27
6101.90.90,61,,si,si,2022-08-25,2023-12-27
6102.10.00,61,,si,si,2022-08-25,2023-12-27
6102.20.00,61,,si,si,2022-08-25,2023-12-27
6102.30.00,61,,si,si,2022-08-25,2023-12-27
6102.90.00,61,,si,si,2022-08-25,2023-12-27
6103.10.10,61,,si,si,2022-08-25,2023-12-27
6103.10.20,61,,si,si,2022-08-25,2023-12-27
6103.10.90,61,,si,si,2022-08-25,2023-12-27
6103.22.00,61,,si,si,2022-08-25,2023-12-27
6103.23.00,61,,si,si,2022-08-25,2023-12-27
6103.29.10,61,,si,si,2022-08-25,2023-12-27
6103.29.90,61,,si,si,2022-08-25,2023-12-27
6103.31.00,61,,si,si,2022-08-25,2023-12-27
6103.32.00,61,,si,si,2022-08-25,2023-12-27
6103.33.00,61,,si,si,2022-08-25,2023-12-27
6103.39.00,61,,si,si,2022-08-25,2023-12-27
6103.41.00,61,,si,si,2022-08-25,2023-12-27
6103.42.00,61,,si,si,2022-08-25,2023-12-27
6103.43.00,61,,si,si,2022-08-25,2023-12-27
6103.49.00,61,,si,si,2022-08-25,2023-12-27
6104.13.00,61,,si,si,2022-08-25,2023-12-27
6104.19.10,61,,si,si,2022-08-25,2023-12-27
6104.19.20,61,,si,si,2022-08-25,2023-12-27
6104.19.90,61,,si,si,2022-08-25,2023-12-27
6104.22.00,61,,si,si,2022-08-25,2023-12-27
6104.23.00,61,,si,si,2022-08-25,2023-12-27
6104.29.10,61,,si,si,2022-08-25,2023-12-27
6104.29.90,61,,si,si,2022-08-25,2023-12-27
6104.31.00,61,,si,si,2022-08-25,2023-12-27
6104.32.00,61,,si,si,2022-08-25,2023-12-27
6104.33.00,61,,si,si,2022-08-25,2023-12-27
6104.39.00,61,,si,si,2022-08-25,2023-12-27
6104.41.00,61,,si,si,2022-08-25,2023-12-27
6104.42.00,61,,si,si,2022-08-25,2023-12-27
6104.43.00,61,,si,si,2022-08-25,2023-12-27
6104.44.00,61,,si,si,2022-08-25,2023-12-27
6104.49.00,61,,si,si,2022-08-25,2023-12-27
6104.51.00,61,,si,si,2022-08-25,2023-12-27
6104.52.00,61,,si,si,2022-08-25,2023-12-27
6104.53.00,61,,si,si,2022-08-25,2023-12-27
6104.59.00,61,,si,si,2022-08-25,2023-12-27
6104.61.00,61,,si,si,2022-08-25,2023-12-27
6104.62.00,61,,si,si,2022-08-25,2023-12-27
6104.63.00,61,,si,si,2022-08-25,2023-12-27
6104.69.00,61,,si,si,2022-08-25,2023-12-27
6105.10.00,61,,si,si,2022-08-25,2023-12-27
6105.20.00,61,,si,si,2022-08-25,2023-12-27
6105.90.00,61,,si,si,2022-08-25,2023-12-27
6106.10.00,61,,si,si,2022-08-25,2023-12-27
6106.20.00,61,,si,si,2022-08-25,2023-12-27
6106.90.00,61,,si,si,2022-08-25,2023-12-27
6107.11.00,61,,si,si,2022-08-25,2023-12-27
6107.12.00,61,,si,si,2022-08-25,2023-12-27
6107.19.00,61,,si,si,2022-08-25,2023-12-27
6107.21.00,61,,si,si,2022-08-25,2023-12-27
6107.22.00,61,,si,si,2022-08-25,2023-12-27
6107.29.00,61,,si,si,2022-08-25,2023-12-27
6107.91.00,61,,si,si,2022-08-25,2023-12-27
6107.99.10,61,,si,si,2022-08-25,2023-12-27
6107.99.90,61,,si,si,2022-08-25,2023-12-27
6108.11.00,61,,si,si,2022-08-25,2023-12-27
6108.19.00,61,,si,si,2022-08-25,2023-12-27
6108.21.00,61,,si,si,2022-08-25,2023-12-27
6108.22.00,61,,si,si,2022-08-25,2023-12-27
6108.29.00,61,,si,si,2022-08-25,2023-12-27
6108.31.00,61,,si,si,2022-08-25,2023-12-27
6108.32.00,61,,si,si,2022-08-25,2023-12-27
6108.39.00,61,,si,si,2022-08-25,2023-12-27
6108.91.00,61,,si,si,2022-08-25,2023-12-27
6108.92.00,61,,si,si,2022-08-25,2023-12-27
6108.99.00,61,,si,si,2022-08-25,2023-12-27
6109.10.00,61,,si,si,2022-08-25,2023-12-27
6109.90.00,61,,si,si,2022-08-25,2023-12-27
6110.11.00,61,,si,si,2022-08-25,2023-12-27
6110.12.00,61,,si,si,2022-08-25,2023-12-27
6110.19.00,61,,si,si,2022-08-25,2023-12-27
6110.20.00,61,,si,si,2022-08-25,2023-12-27
6110.30.00,61,,si,si,2022-08-25,2023-12-27
6110.90.00,61,,si,si,2022-08-25,2023-12-27
6111.20.00,61,,si,si,2022-08-25,2023-12-27
6111.30.00,61,,si,si,2022-08-25,2023-12-27
6111.90.10,61,,si,si,2022-08-25,2023-12-27
6111.90.90,61,,si,si,2022-08-25,2023-12-27
6112.11.00,61,,si,si,2022-08-25,2023-12-27
6112.12.00,61,,si,si,2022-08-25,2023-12-27
6112.19.00,61,,si,si,2022-08-25,2023-12-27
6112.20.00,61,,si,si,2022-08-25,2023-12-27
6112.31.00,61,,si,si,2022-08-25,2023-12-27
6112.39.00,61,,si,si,2022-08-25,2023-12-27
6112.41.00,61,,si,si,2022-08-25,2023-12-27
6112.49.00,61,,si,si,2022-08-25,2023-12-27
6113.00.00,61,,si,si,2022-08-25,2023-12-27
6114.20.00,61,,si,si,2022-08-25,2023-12-27
6114.30.00,61,,si,si,2022-08-25,2023-12-27
6114.90.10,61,,si,si,2022-08-25,2023-12-27
6114.90.90,61,,si,si,2022-08-25,2023-12-27
6115.10.11,61,,si,si,2022-08-25,2023-12-27
6115.10.12,61,,si,si,2022-08-25,2023-12-27
6115.10.13,61,,no,si,2022-10-04,2023-12-27
6115.10.14,61,,si,si,2022-08-25,2023-12-27
6115.10.19,61,,si,si,2022-08-25,2023-12-27
6115.10.21,61,,si,si,2022-08-25,2023-12-27
6115.10.22,61,,no,si,2022-10-04,2023-12-27
6115.10.29,61,,no,si,2022-10-04,2023-12-27
6115.10.91,61,,no,si,2022-10-04,2023-12-27
6115.10.92,61,,no,si,2022-10-04,2023-12-27
6115.10.93,61,,si,si,2022-08-25,2023-12-27
6115.10.99,61,,no,si,2022-10-04,2023-12-27
6115.21.00,61,,si,si,2022-08-25,2023-12-27
6115.22.00,61,,si,si,2022-08-25,2023-12-27
6115.29.10,61,,no,si,2022-10-04,2023-12-27
6115.29.20,61,,si,si,2022-08-25,2023-12-27
6115.29.90,61,,no,si,2022-10-04,2023-12-27
6115.30.10,61,,si,si,2022-08-25,2023-12-27
6115.30.20,61,,si,si,2022-08-25,2023-12-27
6115.30.90,61,,no,si,2022-10-04,2023-12-27
6115.94.00,61,,si,si,2022-08-25,2023-12-27
6115.95.00,61,,si,si,2022-08-25,2023-12-27
6115.96.00,61,,si,si,2022-08-25,2023-12-27
6115.99.00,61,,si,si,2022-08-25,2023-12-27
6116.10.00,61,,si,si,2022-08-25,2023-12-27
6116.91.00,61,,si,si,2022-08-25,2023-12-27
6116.92.00,61,,si,si,2022-08-25,2023-12-27
6116.93.00,61,,si,si,2022-08-25,2023-12-27
6116.99.00,61,,si,si,2022-08-25,2023-12-27
6117.10.00,61,,si,si,2022-08-25,2023-12-27
6117.80.10,61,,si,si,2022-08-25,2023-12-27
6117.80.90,61,,si,si,2022-08-25,2023-12-27
6117.90.00,61,,si,si,2022-08-25,2023-12-27
6201.11.00,62,,si,si,2022-08-25,2023-12-27
6201.12.00,62,,si,si,2022-08-25,2023-12-27
6201.13.00,62,,si,si,2022-08-25,2023-12-27
6201.19.00,62,,si,si,2022-08-25,2023-12-27
6201.91.00,62,,si,si,2022-08-25,2023-12-27
6201.92.00,62,,si,si,2022-08-25,2023-12-27
6201.93.00,62,,si,si,2022-08-25,2023-12-27
6201.99.00,62,,si,si,2022-08-25,2023-12-27
6202.11.00,62,,si,si,2022-08-25,2023-12-27
6202.12.00,62,,si,si,2022-08-25,2023-12-27
6202.13.00,62,,si,si,2022-08-25,2023-12-27
6202.19.00,62,,si,si,2022-08-25,2023-12-27
6202.91.00,62,,si,si,2022-08-25,2023-12-27
6202.92.00,62,,si,si,2022-08-25,2023-12-27
6202.93.00,62,,si,si,2022-08-25,2023-12-27
6202.99.00,62,,si,si,2022-08-25,2023-12-27
6203.11.00,62,,si,si,2022-08-25,2023-12-27
6203.12.00,62,,si,si,2022-08-25,2023-12-27
6203.19.00,62,,si,si,2022-08-25,2023-12-27
6203.22.00,62,,si,si,2022-08-25,2023-12-27
6203.23.00,62,,si,si,2022-08-25,2023-12-27
6203.29.10,62,,si,si,2022-08-25,2023-12-27
6203.29.90,62,,si,si,2022-08-25,2023-12-27
6203.31.00,62,,si,si,2022-08-25,2023-12-27
6203.32.00,62,,si,si,2022-08-25,2023-12-27
6203.33.00,62,,si,si,2022-08-25,2023-12-27
6203.39.00,62,,si,si,2022-08-25,2023-12-27
6203.41.00,62,,si,si,2022-08-25,2023-12-27
6203.42.00,62,,si,si,2022-08-25,2023-12-27
6203.43.00,62,,si,si,2022-08-25,2023-12-27
6203.49.00,62,,si,si,2022-08-25,2023-12-27
6204.11.00,62,,si,si,2022-08-25,2023-12-27
6204.12.00,62,,si,si,2022-08-25,2023-12-27
6204.13.00,62,,si,si,2022-08-25,2023-12-27
6204.19.00,62,,si,si,2022-08-25,2023-12-27
6204.21.00,62,,si,si,2022-08-25,2023-12-27
6204.22.00,62,,si,si,2022-08-25,2023-12-27
6204.23.00,62,,si,si,2022-08-25,2023-12-27
6204.29.00,62,,si,si,2022-08-25,2023-12-27
6204.31.00,62,,si,si,2022-08-25,2023-12-27
6204.32.00,62,,si,si,2022-08-25,2023-12-27
6204.33.00,62,,si,si,2022-08-25,2023-12-27
6204.39.00,62,,si,si,2022-08-25,2023-12-27
6204.41.00,62,,si,si,2022-08-25,2023-12-27
6204.42.00,62,,si,si,2022-08-25,2023-12-27
6204.43.00,62,,si,si,2022-08-25,2023-12-27
6204.44.00,62,,si,si,2022-08-25,2023-12-27
6204.49.00,62,,si,si,2022-08-25,2023-12-27
6204.51.00,62,,si,si,2022-08-25,2023-12-27
6204.52.00,62,,si,si,2022-08-25,2023-12-27
6204.53.00,62,,si,si,2022-08-25,2023-12-27
6204.59.00,62,,si,si,2022-08-25,2023-12-27
6204.61.00,62,,si,si,2022-08-25,2023-12-27
6204.62.00,62,,si,si,2022-08-25,2023-12-27
6204.63.00,62,,si,si,2022-08-25,2023-12-27
6204.69.00,62,,si,si,2022-08-25,2023-12-27
6205.20.00,62,,si,si,2022-08-25,2023-12-27
6205.30.00,62,,si,si,2022-08-25,2023-12-27
6205.90.10,62,,si,si,2022-08-25,2023-12-27
6205.90.90,62,,si,si,2022-08-25,2023-12-27
6206.10.00,62,,si,si,2022-08-25,2023-12-27
6206.20.00,62,,si,si,2022-08-25,2023-12-27
6206.30.00,62,,si,si,2022-08-25,2023-12-27
6206.40.00,62,,si,si,2022-08-25,2023-12-27
6206.90.00,62,,si,si,2022-08-25,2023-12-27
6207.11.00,62,,si,si,2022-08-25,2023-12-27
6207.19.00,62,,si,si,2022-08-25,2023-12-27
6207.21.00,62,,si,si,2022-08-25,2023-12-27
6207.22.00,62,,si,si,2022-08-25,2023-12-27
6207.29.00,62,,si,si,2022-08-25,2023-12-27
6207.91.00,62,,si,si,2022-08-25,2023-12-27
6207.99.10,62,,si,si,2022-08-25,2023-12-27
6207.99.90,62,,si,si,2022-08-25,2023-12-27
6208.11.00,62,,si,si,2022-08-25,2023-12-27
6208.19.00,62,,si,si,2022-08-25,2023-12-27
6208.21.00,62,,si,si,2022-08-25,2023-12-27
6208.22.00,62,,si,si,2022-08-25,2023-12-27
6208.29.00,62,,si,si,2022-08-25,2023-12-27
6208.91.00,62,,si,si,2022-08-25,2023-12-27
6208.92.00,62,,si,si,2022-08-25,2023-12-27
6208.99.00,62,,si,si,2022-08-25,2023-12-27
6209.20.00,62,,si,si,2022-08-25,2023-12-27
6209.30.00,62,,si,si,2022-08-25,2023-12-27
6209.90.10,62,,si,si,2022-08-25,2023-12-27
6209.90.90,62,,si,si,2022-08-25,2023-12-27
6210.10.00,62,,no,si,2022-10-04,2023-12-27
6210.20.00,62,,si,si,2022-08-25,2023-12-27
6210.30.00,62,,si,si,2022-08-25,2023-12-27
6210.40.00,62,,si,si,2022-08-25,2023-12-27
6210.50.00,62,,si,si,2022-08-25,2023-12-27
6211.11.00,62,,si,si,2022-08-25,2023-12-27
6211.12.00,62,,si,si,2022-08-25,2023-12-27
6211.20.00,62,,si,si,2022-08-25,2023-12-27
6211.32.00,62,,si,si,2022-08-25,2023-12-27
6211.33.00,62,,si,si,2022-08-25,2023-12-27
6211.39.10,62,,si,si,2022-08-25,2023-12-27
6211.39.90,62,,si,si,2022-08-25,2023-12-27
6211.42.00,62,,si,si,2022-08-25,2023-12-27
6211.43.00,62,,si,si,2022-08-25,2023-12-27
6211.49.00,62,,si,si,2022-08-25,2023-12-27
6212.10.00,62,,si,si,2022-08-25,2023-12-27
6212.20.00,62,,si,si,2022-08-25,2023-12-27
6212.30.00,62,,si,si,2022-08-25,2023-12-27
6212.90.00,62,,si,si,2022-08-25,2023-12-27
6213.20.00,62,,si,si,2022-08-25,2023-12-27
6213.90.10,62,,si,si,2022-08-25,2023-12-27
6213.90.90,62,,si,si,2022-08-25,2023-12-27
6214.10.00,62,,si,si,2022-08-25,2023-12-27
6214.20.00,62,,si,si,2022-08-25,2023-12-27
6214.30.00,62,,si,si,2022-08-25,2023-12-27
6214.40.00,62,,si,si,2022-08-25,2023-12-27
6214.90.10,62,,si,si,2022-08-25,2023-12-27
6214.90.90,62,,si,si,2022-08-25,2023-12-27
6215.10.00,62,,si,si,2022-08-25,2023-12-27
6215.20.00,62,,si,si,2022-08-25,2023-12-27
6215.90.00,62,,si,si,2022-08-25,2023-12-27
6216.00.00,62,,si,si,2022-08-25,2023-12-27
6217.10.00,62,,si,si,2022-08-25,2023-12-27
6217.90.00,62,,si,si,2022-08-25,2023-12-27
6301.10.00,63,,no,si,2022-10-04,2023-12-27
6301.20.00,63,,si,si,2022-08-25,2023-12-27
6301.30.00,63,,si,si,2022-08-25,2023-12-27
6301.40.00,63,,si,si,2022-08-25,2023-12-27
6301.90.00,63,,si,si,2022-08-25,2023-12-27
6302.10.00,63,,si,si,2022-08-25,2023-12-27
6302.21.00,63,,si,si,2022-08-25,2023-12-27
6302.22.00,63,,si,si,2022-08-25,2023-12-27
6302.29.00,63,,si,si,2022-08-25,2023-12-27
6302.31.00,63,,si,si,2022-08-25,2023-12-27
6302.32.00,63,,si,si,2022-08-25,2023-12-27
6302.39.00,63,,si,si,2022-08-25,2023-12-27
6302.40.00,63,,si,si,2022-08-25,2023-12-27
6302.51.00,63,,si,si,2022-08-25,2023-12-27
6302.53.00,63,,si,si,2022-08-25,2023-12-27
6302.59.10,63,,si,si,2022-08-25,2023-12-27
6302.59.90,63,,si,si,2022-08-25,2023-12-27
6302.60.00,63,,si,si,2022-08-25,2023-12-27
6302.91.00,63,,si,si,2022-08-25,2023-12-27
6302.93.00,63,,si,si,2022-08-25,2023-12-27
6302.99.10,63,,si,si,2022-08-25,2023-12-27
6302.99.90,63,,si,si,2022-08-25,2023-12-27
6303.12.00,63,,no,si,2022-10-04,2023-12-27
6303.19.10,63,,no,si,2022-10-04,2023-12-27
6303.19.90,63,,no,si,2022-10-04,2023-12-27
6303.91.00,63,,si,si,2022-08-25,2023-12-27
6303.92.00,63,,si,si,2022-08-25,2023-12-27
6303.99.00,63,,no,si,2022-10-04,2023-12-27
6304.11.00,63,,si,si,2022-08-25,2023-12-27
6304.19.10,63,,si,si,2022-08-25,2023-12-27
6304.19.90,63,,si,si,2022-08-25,2023-12-27
6304.20.00,63,,si,si,2022-08-25,2023-12-27
6304.91.00,63,,si,si,2022-08-25,2023-12-27
6304.92.00,63,,si,si,2022-08-25,2023-12-27
6304.93.00,63,,si,si,2022-08-25,2023-12-27
6304.99.00,63,,si,si,2022-08-25,2023-12-27
6305.10.00,63,,no,si,2022-10-04,2023-12-27
6305.20.00,63,,no,si,2022-10-04,2023-12-27
6305.32.00,63,,si,si,2022-08-25,2023-12-27
6305.33.10,63,,si,si,2022-08-25,2023-12-27
6305.33.90,63,,si,si,2022-08-25,2023-12-27
6305.39.00,63,,si,si,2022-08-25,2023-12-27
6305.90.00,63,,no,si,2022-10-04,2023-12-27
6306.12.00,63,,si,si,2022-08-25,2023-12-27
6306.19.10,63,,no,si,2022-10-04,2023-12-27
6306.19.90,63,,no,si,2022-10-04,2023-12-27
6306.22.00,63,,no,si,2022-10-04,2023-12-27
6306.29.10,63,,no,si,2022-10-04,2023-12-27
6306.29.90,63,,no,si,2022-10-04,2023-12-27
6306.30.10,63,,no,si,2022-10-04,2023-12-27
6306.30.90,63,,no,si,2022-10-04,2023-12-27
6306.40.10,63,,no,si,2022-10-04,2023-12-27
6306.40.90,63,,no,si,2022-10-04,2023-12-27
6306.90.00,63,,no,si,2022-10-04,2023-12-27
6307.10.00,63,,si,si,2022-08-25,2023-12-27
6307.20.00,63,,si,si,2022-08-25,2023-12-27
6307.90.10,63,,no,si,2022-10-04,2023-12-27
6307.90.20,63,,no,si,2022-10-04,2023-12-27
6307.90.90,63,,si,si,2022-08-25,2023-12-27
6308.00.00,63,,no,si,2022-10-04,2023-12-27
6309.00.10,63,,no,si,2022-10-04,2023-12-27
6309.00.90,63,,no,si,2022-10-04,2023-12-27
6310.10.00,63,,si,si,2022-08-25,2023-12-27
6310.90.00,63,,si,si,2022-08-25,2023-12-27
6401.10.00,64,,si,si,2022-08-25,2023-12-27
6401.92.00,64,,si,si,2022-08-25,2023-12-27
6401.99.10,64,,si,si,2022-08-25,2023-12-27
6401.99.90,64,,si,si,2022-08-25,2023-12-27
6402.12.00,64,,no,si,2022-10-04,2023-12-27
6402.19.00,64,,si,si,2022-08-25,2023-12-27
6402.20.00,64,,si,si,2022-08-25,2023-12-27
6402.91.10,64,,si,si,2022-08-25,2023-12-27
6402.91.90,64,,si,si,2022-08-25,2023-12-27
6402.99.10,64,,si,si,2022-08-25,2023-12-27
6402.99.90,64,,si,si,2022-08-25,2023-12-27
6403.12.00,64,,no,si,2022-10-04,2023-12-27
6403.19.00,64,,si,si,2022-08-25,2023-12-27
6403.20.00,64,,si,si,2022-08-25,2023-12-27
6403.40.00,64,,si,si,2022-08-25,2023-12-27
6403.51.10,64,,si,si,2022-08-25,2023-12-27
6403.51.90,64,,si,si,2022-08-25,2023-12-27
6403.59.10,64,,si,si,2022-08-25,2023-12-27
6403.59.90,64,,si,si,2022-08-25,2023-12-27
6403.91.10,64,,si,si,2022-08-25,2023-12-27
6403.91.90,64,,si,si,2022-08-25,2023-12-27
6403.99.10,64,,si,si,2022-08-25,2023-12-27
6403.99.90,64,,si,si,2022-08-25,2023-12-27
6404.11.00,64,,si,si,2022-08-25,2023-12-27
6404.19.00,64,,si,si,2022-08-25,2023-12-27
6404.20.00,64,,si,si,2022-08-25,2023-12-27
6405.10.10,64,,si,si,2022-08-25,2023-12-27
6405.10.20,64,,si,si,2022-08-25,2023-12-27
6405.10.90,64,,si,si,2022-08-25,2023-12-27
6405.20.00,64,,si,si,2022-08-25,2023-12-27
6405.90.00,64,,si,si,2022-08-25,2023-12-27
6406.10.00,64,,si,si,2022-08-25,2023-12-27
6406.20.00,64,,si,si,2022-08-25,2023-12-27
6406.90.10,64,,no,si,2022-10-04,2023-12-27
6406.90.20,64,,no,si,2022-10-04,2023-12-27
6406.90.90,64,,no,si,2022-10-04,2023-12-27
6501.00.00,65,,no,si,2022-10-04,2023-12-27
6502.00.10,65,,no,si,2022-10-04,2023-12-27
6502.00.90,65,,no,si,2022-10-04,2023-12-27
6504.00.10,65,,no,si,2022-10-04,2023-12-27
6504.00.90,65,,no,si,2022-10-04,2023-12-27
6505.00.11,65,,no,si,2022-10-04,2023-12-27
6505.00.12,65,,no,si,2022-10-04,2023-12-27
6505.00.19,65,,no,si,2022-10-04,2023-12-27
6505.00.21,65,,si,si,2022-08-25,2023-12-27
6505.00.22,65,,no,si,2022-10-04,2023-12-27
6505.00.29,65,,si,si,2022-08-25,2023-12-27
6505.00.31,65,,no,si,2022-10-04,2023-12-27
6505.00.32,65,,no,si,2022-10-04,2023-12-27
6505.00.39,65,,no,si,2022-10-04,2023-12-27
6505.00.90,65,,no,si,2022-10-04,2023-12-27
6506.10.00,65,,si,si,2022-08-25,2023-12-27
6506.91.00,65,,no,si,2022-10-04,2023-12-27
6506.99.00,65,,no,si,2022-10-04,2023-12-27
6507.00.00,65,,no,si,2022-10-04,2023-12-27
6601.10.00,66,,no,si,2022-10-04,2023-12-27
6601.91.10,66,,no,si,2022-10-04,2023-12-27
6601.91.90,66,,no,si,2022-10-04,2023-12-27
6601.99.00,66,,no,si,2022-10-04,2023-12-27
6602.00.00,66,,no,si,2022-10-04,2023-12-27
6603.20.00,66,,no,si,2022-10-04,2023-12-27
6603.90.00,66,,no,si,2022-10-04,2023-12-27
6701.00.00,67,,no,si,2022-10-04,2023-12-27
6702.10.00,67,,no,si,2022-10-04,2023-12-27
6702.90.00,67,,no,si,2022-10-04,2023-12-27
6703.00.00,67,,no,si,2022-10-04,2023-12-27
6704.11.00,67,,no,si,2022-10-04,2023-12-27
6704.19.00,67,,no,si,2022-10-04,2023-12-27
6704.20.00,67,,no,si,2022-10-04,2023-12-27
6704.90.00,67,,no,si,2022-10-04,2023-12-27
6810.19.00,68,,si,si,2022-08-25,2023-12-27
6813.81.90,68,,si,si,2022-08-25,2023-12-27
6813.89.10,68,,si,si,2022-08-25,2023-12-27
6905.10.00,69,,si,si,2022-08-25,2023-12-27
6907.21.00,69,,si,si,2022-08-25,2023-12-27
6907.22.00,69,,si,si,2022-08-25,2023-12-27
6907.23.00,69,,si,si,2022-08-25,2023-12-27
6907.30.00,69,,si,si,2022-08-25,2023-12-27
6907.40.00,69,,si,si,2022-08-25,2023-12-27
6910.10.00,69,,si,si,2022-08-25,2023-12-27
6910.90.00,69,,si,si,2022-08-25,2023-12-27
6911.10.10,69,,si,si,2022-08-25,2023-12-27
6911.10.90,69,,si,si,2022-08-25,2023-12-27
