ncm,capitulo,trayectoria,entrada,salida,descripcion_trayectoria
9022.90.11,90,G3,,,nunca alcanzada por el régimen
9022.90.12,90,G3,,,nunca alcanzada por el régimen
9022.90.19,90,G3,,,nunca alcanzada por el régimen
9022.90.80,90,G3,,,nunca alcanzada por el régimen
9022.90.90,90,G3,,,nunca alcanzada por el régimen
9024.10.10,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9024.10.20,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9024.10.90,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9024.80.11,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9024.80.19,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9024.80.21,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9024.80.29,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9024.80.90,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9024.90.00,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9027.10.00,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9027.20.11,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9027.20.12,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9027.20.19,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9027.20.21,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9027.20.29,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9027.30.11,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9027.30.19,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9027.30.20,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9027.50.10,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9027.50.20,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9027.50.30,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9027.50.40,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9027.50.50,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9027.50.90,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9027.80.11,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9027.80.12,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9027.80.13,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9027.80.14,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9027.80.20,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9027.80.30,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9027.80.91,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9027.80.99,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9027.90.10,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9027.90.91,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9027.90.93,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9027.90.99,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9028.10.11,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9028.10.19,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9029.10.10,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9030.10.10,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9030.10.90,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9030.20.30,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9030.31.00,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9030.32.00,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9030.33.29,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9030.33.90,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9030.39.90,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9030.84.90,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9030.90.10,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9031.10.00,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9031.20.10,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9031.20.90,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9031.41.00,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9031.49.10,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9031.49.20,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9031.49.90,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9031.80.11,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9031.80.12,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9031.80.20,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9031.80.30,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9031.80.50,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9031.80.60,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9031.80.91,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9031.80.99,90,G1,2022-08-25,2023-12-27,bajo licencia desde agosto de 2022
9031.90.10,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9031.90.90,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
9032.89.84,90,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
